
-------------------- Trial 0  --------------------
379 shah emam:0.7317101635129588 shah:0.26828983648704113 
312 emam emam:0.9313573460345664 shah:0.06864265396543354 
1364 emam emam:0.9766501626694677 shah:0.02334983733053221 
451 shah emam:0.5192262542980383 shah:0.4807737457019618 
2244 emam emam:0.9965665974520289 shah:0.0034334025479709936 
813 shah shah:0.9998859248898524 emam:1.1407511014769311E-4 
2294 emam emam:0.9263276304964929 shah:0.07367236950350696 
1870 emam emam:0.8900626356302215 shah:0.1099373643697786 
670 emam emam:0.9577920434860062 shah:0.04220795651399384 
2281 emam emam:0.914223868260041 shah:0.08577613173995904 
1840 emam emam:0.9530681095686722 shah:0.046931890431327866 
1690 emam emam:0.9937127324392786 shah:0.006287267560721301 
2778 emam emam:0.7301820708528017 shah:0.26981792914719827 
887 emam emam:0.7850695176407645 shah:0.21493048235923554 
1001 emam emam:0.6782822686844497 shah:0.32171773131555037 
338 emam emam:0.9921110585214475 shah:0.007888941478552508 
2871 emam emam:0.9284143042165617 shah:0.07158569578343826 
487 shah shah:0.7288733091175049 emam:0.271126690882495 
1834 emam emam:0.938180374743946 shah:0.061819625256053966 
314 shah shah:0.9725582543593335 emam:0.027441745640666388 
1923 emam emam:0.9566608255441184 shah:0.04333917445588165 
526 shah shah:0.9996886123651179 emam:3.113876348821077E-4 
262 emam emam:0.5771976895560919 shah:0.42280231044390815 
513 shah shah:0.7431837520134419 emam:0.256816247986558 
1372 emam emam:0.9981835788338574 shah:0.0018164211661425259 
3003 emam emam:0.9014324983478278 shah:0.09856750165217225 
2973 emam emam:0.9861277722782842 shah:0.013872227721715764 
556 shah shah:0.8388392786306099 emam:0.16116072136939005 
2508 emam emam:0.8229927297937774 shah:0.1770072702062226 
307 shah shah:0.8367624994064214 emam:0.1632375005935785 
2923 emam emam:0.9259321447786218 shah:0.07406785522137817 
2191 emam emam:0.996103182121516 shah:0.0038968178784840484 
1188 emam emam:0.8725897323530384 shah:0.12741026764696156 
2658 emam emam:0.89027198811355 shah:0.10972801188644993 
2059 emam emam:0.9918820921027575 shah:0.008117907897242602 
407 emam shah:0.5947239831515646 emam:0.4052760168484354 
1377 emam emam:0.7665025206462959 shah:0.23349747935370413 
804 emam emam:0.8918968693005117 shah:0.1081031306994882 
359 emam emam:0.9844929581538525 shah:0.015507041846147564 
590 emam emam:0.9905399260175728 shah:0.009460073982427104 
1381 emam emam:0.997348625736709 shah:0.0026513742632909357 
620 shah shah:0.8257021301884483 emam:0.17429786981155174 
495 shah emam:0.7919382744183949 shah:0.20806172558160502 
1230 emam emam:0.9904019506794347 shah:0.009598049320565431 
1765 emam emam:0.9858467164766602 shah:0.014153283523339782 
1472 emam emam:0.9733525723376582 shah:0.026647427662341835 
880 emam emam:0.9974261308787895 shah:0.0025738691212104634 
189 emam emam:0.80718044565425 shah:0.19281955434575 
798 shah shah:0.9731759136109263 emam:0.02682408638907359 
1488 emam emam:0.8111644107216189 shah:0.18883558927838118 
1519 emam emam:0.6435914306661571 shah:0.3564085693338428 
983 emam emam:0.7495517169363496 shah:0.2504482830636503 
225 shah shah:0.8331365936238463 emam:0.16686340637615368 
2751 emam emam:0.8344447023142973 shah:0.1655552976857027 
347 emam emam:0.9986422346458455 shah:0.001357765354154631 
1645 emam shah:0.6455913233884166 emam:0.35440867661158343 
45 emam emam:0.9678815381383324 shah:0.03211846186166748 
1568 emam emam:0.8366041506050359 shah:0.1633958493949641 
938 emam emam:0.6716586248595728 shah:0.3283413751404271 
463 shah shah:0.8884160999871583 emam:0.11158390001284164 
1627 emam emam:0.8897917557708693 shah:0.11020824422913064 
2931 emam emam:0.9006404020300285 shah:0.09935959796997164 
2593 emam emam:0.8528021661881787 shah:0.1471978338118213 
1207 emam emam:0.9382183815398687 shah:0.061781618460131374 
333 emam emam:0.9998233893407038 shah:1.766106592961429E-4 
820 emam emam:0.9815008745375225 shah:0.018499125462477423 
252 emam emam:0.9998256860469201 shah:1.743139530798887E-4 
2089 emam emam:0.8130735969905438 shah:0.1869264030094561 
512 shah shah:0.5209581600875988 emam:0.47904183991240135 
2169 emam emam:0.9238149842199875 shah:0.07618501578001234 
2992 emam emam:0.6784683607396391 shah:0.3215316392603608 
153 shah emam:0.6823607149304992 shah:0.31763928506950073 
364 emam emam:0.7850695176407645 shah:0.21493048235923554 
2683 emam emam:0.9862371740263364 shah:0.013762825973663522 
2597 emam emam:0.9663830800125754 shah:0.03361691998742459 
968 emam emam:0.9500282043596155 shah:0.049971795640384536 
1571 emam emam:0.9752727208494903 shah:0.024727279150509693 
503 shah emam:0.7638413121200187 shah:0.23615868787998123 
945 emam emam:0.9954220260238444 shah:0.004577973976155618 
899 emam emam:0.9721900416058493 shah:0.0278099583941508 
95 emam emam:0.8939443297708497 shah:0.10605567022915029 
1287 emam emam:0.848483907324516 shah:0.15151609267548405 
2401 emam emam:0.8229927297937774 shah:0.1770072702062226 
514 emam emam:0.7184558974793761 shah:0.28154410252062384 
2166 emam emam:0.8301090739244459 shah:0.16989092607555417 
1770 emam emam:0.7455589003968801 shah:0.2544410996031198 
1076 emam emam:0.7376212075032751 shah:0.26237879249672486 
2008 emam emam:0.9998455246126605 shah:1.5447538733949539E-4 
2714 emam emam:0.9994103043001632 shah:5.896956998366947E-4 
2404 emam emam:0.9948429860190849 shah:0.005157013980915124 
1384 emam emam:0.9615324049250396 shah:0.03846759507496047 
1517 emam emam:0.9964401621770502 shah:0.003559837822949727 
2566 emam emam:0.8200274671090577 shah:0.17997253289094228 
2815 emam emam:0.9588314814225105 shah:0.04116851857748943 
2150 emam emam:0.9544256011979316 shah:0.04557439880206824 
789 shah shah:0.9999998750671565 emam:1.2493284364034977E-7 
1228 emam emam:0.9843814866527896 shah:0.015618513347210473 
436 shah emam:0.7051031381261494 shah:0.29489686187385056 
303 emam emam:0.8867661631403163 shah:0.11323383685968376 
606 shah shah:0.7075014847865032 emam:0.2924985152134967 
1492 emam emam:0.9766493755274334 shah:0.023350624472566705 
985 emam emam:0.7850695176407645 shah:0.21493048235923554 
1164 emam emam:0.9137262145054926 shah:0.0862737854945073 
773 shah shah:0.999528343728079 emam:4.7165627192103694E-4 
2389 emam emam:0.8229927297937774 shah:0.1770072702062226 
2332 emam shah:0.5580126227080143 emam:0.4419873772919857 
2529 emam emam:0.9585316381258483 shah:0.041468361874151656 
47 shah emam:0.5407207642793292 shah:0.4592792357206708 
3029 emam emam:0.6070539962061334 shah:0.39294600379386657 
1036 emam emam:0.9936642249655374 shah:0.006335775034462538 
2552 emam emam:0.8194187260576393 shah:0.18058127394236076 
493 emam emam:0.9940907871361256 shah:0.005909212863874428 
928 emam emam:0.9747399403585242 shah:0.025260059641475888 
1594 emam emam:0.8216215069053331 shah:0.17837849309466686 
1827 emam emam:0.9851233521077151 shah:0.014876647892284883 
396 emam emam:0.7263916907298709 shah:0.2736083092701291 
1945 emam emam:0.9931324103285323 shah:0.0068675896714677975 
316 emam emam:0.981155014682797 shah:0.018844985317202908 
344 emam emam:0.9746045512745327 shah:0.025395448725467333 
474 shah shah:0.9605723575181719 emam:0.03942764248182818 
665 shah shah:0.6101616225392938 emam:0.38983837746070604 
1692 emam emam:0.8229927297937774 shah:0.1770072702062226 
41 emam emam:0.9739328686345327 shah:0.026067131365467358 
884 shah shah:0.9891293759921653 emam:0.01087062400783463 
756 shah emam:0.6466611769006917 shah:0.3533388230993083 
1494 emam emam:0.9257419502186645 shah:0.07425804978133549 
176 emam emam:0.9910110705175115 shah:0.008988929482488547 
832 shah shah:0.9853271858935602 emam:0.014672814106439785 
2302 emam emam:0.93910397448088 shah:0.06089602551911998 
676 emam emam:0.9781405607337263 shah:0.02185943926627356 
582 shah shah:0.5772839566775411 emam:0.4227160433224589 
2476 emam emam:0.6967506888312194 shah:0.30324931116878057 
2482 emam emam:0.8444918123262409 shah:0.15550818767375912 
1546 emam emam:0.9147442784979389 shah:0.085255721502061 
725 emam emam:0.9844934587712425 shah:0.015506541228757416 
167 emam emam:0.7933158349388325 shah:0.2066841650611674 
2174 emam emam:0.8941676774492797 shah:0.10583232255072024 
1050 emam emam:0.9989630391849225 shah:0.001036960815077508 
2718 emam emam:0.9947036734645879 shah:0.005296326535412224 
1816 emam emam:0.9743581252672622 shah:0.02564187473273781 
2355 emam emam:0.912435042248412 shah:0.08756495775158794 
681 emam emam:0.9887573897837051 shah:0.0112426102162949 
2194 emam emam:0.9338105754674383 shah:0.0661894245325617 
2295 emam emam:0.8001725017668869 shah:0.1998274982331131 
2300 emam emam:0.982077984886278 shah:0.01792201511372201 
2115 emam emam:0.9630869041567354 shah:0.03691309584326468 
149 shah shah:0.525793438843237 emam:0.47420656115676296 
362 shah shah:0.7924097276717561 emam:0.20759027232824384 
1044 emam emam:0.8748084688000867 shah:0.12519153119991336 
637 emam emam:0.9765660414887505 shah:0.023433958511249492 
2737 emam emam:0.7216631024653319 shah:0.2783368975346681 
112 shah emam:0.8992543566239909 shah:0.10074564337600904 
648 shah shah:0.6571032946712145 emam:0.34289670532878536 
0 shah emam:0.8229927297937774 shah:0.1770072702062226 
1869 emam emam:0.9258572015461636 shah:0.07414279845383644 
2642 emam emam:0.7982011297518952 shah:0.20179887024810483 
319 emam emam:0.7249845412110598 shah:0.27501545878894024 
1231 emam emam:0.8458658436037498 shah:0.15413415639625025 
2894 emam emam:0.9997833040707673 shah:2.1669592923274927E-4 
299 shah shah:0.8433909006860651 emam:0.1566090993139347 
242 emam emam:0.726631632612788 shah:0.273368367387212 
103 shah shah:0.7948043459940762 emam:0.20519565400592382 
1784 emam emam:0.7596275953125226 shah:0.2403724046874774 
2886 emam emam:0.9992308353564877 shah:7.691646435122848E-4 
2261 emam emam:0.995581676426261 shah:0.004418323573739037 
185 shah emam:0.8229927297937774 shah:0.1770072702062226 
560 shah shah:0.8998747670905425 emam:0.10012523290945753 
722 emam emam:0.9809032280207244 shah:0.019096771979275534 
790 shah shah:0.9984556787625314 emam:0.001544321237468592 
55 emam emam:0.702772563171905 shah:0.297227436828095 
202 shah shah:0.9999883648853847 emam:1.1635114615411806E-5 
826 emam emam:0.6665494503579084 shah:0.33345054964209164 
752 shah emam:0.892753887099325 shah:0.10724611290067498 
1911 emam emam:0.952125952323871 shah:0.047874047676128934 
2047 emam emam:0.8229927297937774 shah:0.1770072702062226 
210 shah emam:0.5041131909372881 shah:0.49588680906271193 
1542 emam emam:0.7850695176407645 shah:0.21493048235923554 
2328 emam emam:0.9806294702663758 shah:0.019370529733624124 
2415 emam emam:0.801146019088133 shah:0.19885398091186696 
2825 emam emam:0.8694136794733281 shah:0.13058632052667182 
881 shah emam:0.9219971952456344 shah:0.07800280475436566 
363 emam emam:0.7850695176407645 shah:0.21493048235923554 
1865 emam emam:0.6469896757837489 shah:0.3530103242162511 
824 shah shah:0.838972663670872 emam:0.1610273363291279 
67 emam emam:0.8448576501764525 shah:0.15514234982354733 
2492 emam emam:0.88566580342624 shah:0.11433419657376008 
507 emam emam:0.8624134379600731 shah:0.13758656203992695 
395 shah shah:0.5089061584491923 emam:0.4910938415508077 
2018 emam emam:0.8529141523311607 shah:0.14708584766883925 
2409 emam emam:0.8695464888398153 shah:0.13045351116018478 
338 shah emam:0.6436155268549626 shah:0.35638447314503735 
1351 emam emam:0.8617587702074871 shah:0.13824122979251277 
737 shah shah:0.6567288596385746 emam:0.3432711403614253 
219 emam emam:0.992937174600249 shah:0.007062825399751029 
2454 emam emam:0.8868841506219056 shah:0.11311584937809448 
1759 emam emam:0.9927130427867754 shah:0.007286957213224626 
1390 emam emam:0.7501304361997181 shah:0.24986956380028189 
616 emam emam:0.9794785116338942 shah:0.020521488366105647 
265 shah shah:0.9991528061049499 emam:8.471938950499245E-4 
667 emam emam:0.9977017469998913 shah:0.0022982530001086094 
1599 emam emam:0.902714650119925 shah:0.0972853498800749 
1844 emam emam:0.9456023532347088 shah:0.0543976467652912 
695 emam emam:0.7672765761781966 shah:0.2327234238218034 
2775 emam emam:0.998376340249679 shah:0.0016236597503208941 
595 shah shah:0.8981427650179485 emam:0.10185723498205144 
2188 emam emam:0.8347746449979597 shah:0.16522535500204028 
21 shah shah:0.9924344733040877 emam:0.007565526695912241 
52 shah emam:0.8261518340589278 shah:0.1738481659410722 
2732 emam emam:0.9706544678127647 shah:0.029345532187235356 
223 shah emam:0.8229927297937774 shah:0.1770072702062226 
2350 emam emam:0.9948371100224324 shah:0.005162889977567684 
855 shah shah:0.9694852875276145 emam:0.030514712472385516 
2570 emam emam:0.9900378869468917 shah:0.009962113053108354 
1912 emam emam:0.9976058138991635 shah:0.0023941861008365322 
2495 emam emam:0.7216631024653319 shah:0.2783368975346681 
1495 emam emam:0.8250132394704576 shah:0.17498676052954237 
18 emam emam:0.9953538457840948 shah:0.0046461542159053045 
2179 emam emam:0.9625082483063578 shah:0.0374917516936423 
1887 emam emam:0.7950451192811856 shah:0.20495488071881438 
1962 emam emam:0.9041977933729276 shah:0.09580220662707242 
1516 emam emam:0.9815375556434683 shah:0.018462444356531608 
541 shah shah:0.9032142369424688 emam:0.09678576305753124 
1662 emam emam:0.9734740392586614 shah:0.026525960741338627 
877 emam emam:0.9787036539472274 shah:0.021296346052772502 
2451 emam emam:0.9538213084525521 shah:0.04617869154744778 
2517 emam emam:0.8229927297937774 shah:0.1770072702062226 
436 emam emam:0.8250270908801463 shah:0.1749729091198537 
1580 emam emam:0.926608009277989 shah:0.07339199072201102 
297 emam emam:0.996892050115619 shah:0.0031079498843810823 
567 shah shah:0.8456640539267553 emam:0.15433594607324463 
1644 emam emam:0.6520829148752642 shah:0.34791708512473585 
1842 emam emam:0.8259837912160439 shah:0.17401620878395607 
1292 emam emam:0.9753697811532557 shah:0.024630218846744337 
1561 emam emam:0.9036182638372 shah:0.09638173616280005 
1623 emam emam:0.6516330427071656 shah:0.3483669572928345 
505 shah emam:0.7850695176407645 shah:0.21493048235923554 
516 shah shah:0.6183699589038225 emam:0.38163004109617754 
2483 emam emam:0.9965072853020838 shah:0.003492714697916156 
2117 emam emam:0.9995141650707328 shah:4.8583492926728875E-4 
1141 emam emam:0.9483353374896573 shah:0.0516646625103427 
2346 emam emam:0.7850695176407645 shah:0.21493048235923554 
474 emam emam:0.9907954562373124 shah:0.009204543762687601 
57 shah shah:0.9693134437248572 emam:0.030686556275142853 
1356 emam emam:0.745956634585137 shah:0.25404336541486305 
1743 emam emam:0.5074852702628547 shah:0.4925147297371454 
1113 emam emam:0.9964353099121988 shah:0.003564690087801251 
1781 emam emam:0.9966189990019797 shah:0.003381000998020409 
4 shah shah:0.6058978509168386 emam:0.39410214908316143 
634 emam emam:0.9998020932762224 shah:1.979067237775058E-4 
60 emam emam:0.9867951848975695 shah:0.013204815102430571 
652 emam emam:0.9989660945295835 shah:0.001033905470416466 
2826 emam emam:0.965923516640069 shah:0.03407648335993109 
588 emam shah:0.7292719995984372 emam:0.27072800040156264 
977 emam emam:0.9913079653085699 shah:0.008692034691430142 
2296 emam emam:0.866432327365997 shah:0.1335676726340031 
2175 emam emam:0.9960470847357767 shah:0.00395291526422319 
411 emam emam:0.8229927297937774 shah:0.1770072702062226 
24 emam emam:0.9646193991289822 shah:0.03538060087101783 
750 emam emam:0.9932168125288221 shah:0.006783187471177802 
2006 emam emam:0.9393529998759056 shah:0.06064700012409437 
2988 emam emam:0.9178616166842933 shah:0.08213838331570661 
482 shah shah:0.7948043459940762 emam:0.20519565400592382 
240 shah shah:0.9471870573487872 emam:0.05281294265121284 
191 shah shah:0.9101485202188986 emam:0.08985147978110151 
2297 emam emam:0.9907141628164536 shah:0.009285837183546494 
2758 emam emam:0.9487554783310637 shah:0.051244521668936276 
44 emam emam:0.7813415842353592 shah:0.2186584157646407 
422 shah emam:0.8229927297937774 shah:0.1770072702062226 
2660 emam emam:0.97530558923686 shah:0.024694410763139992 
214 shah shah:0.5224205200523813 emam:0.47757947994761873 
2878 emam emam:0.8841918127423923 shah:0.11580818725760762 
1393 emam emam:0.9951536680792137 shah:0.004846331920786326 
2073 emam emam:0.8229927297937774 shah:0.1770072702062226 
846 shah shah:0.99939078872464 emam:6.092112753599846E-4 
793 shah shah:0.9493719812437307 emam:0.05062801875626933 
975 emam emam:0.9962181613469304 shah:0.003781838653069538 
2911 emam emam:0.9917847213236827 shah:0.008215278676317406 
2326 emam emam:0.9927733009506073 shah:0.007226699049392725 
1724 emam emam:0.9665383464911439 shah:0.033461653508855965 
1043 emam emam:0.9602152342900545 shah:0.039784765709945435 
202 emam emam:0.7344933347235604 shah:0.2655066652764397 
959 emam emam:0.9885253913549764 shah:0.011474608645023593 
552 shah shah:0.5827605301514506 emam:0.4172394698485494 
2203 emam emam:0.8229927297937774 shah:0.1770072702062226 
1589 emam emam:0.9998801073025841 shah:1.19892697415878E-4 
1582 emam emam:0.9494361953057937 shah:0.050563804694206314 
87 shah shah:0.7075565115525467 emam:0.29244348844745327 
260 shah shah:0.9833628148546161 emam:0.016637185145383877 
1520 emam emam:0.8229927297937774 shah:0.1770072702062226 
2928 emam emam:0.8137704946888046 shah:0.18622950531119545 
311 shah emam:0.801370893082245 shah:0.19862910691775504 
1453 emam emam:0.9087185134751211 shah:0.09128148652487898 
94 emam emam:0.997452440434962 shah:0.002547559565037977 
1609 emam emam:0.9757705904089896 shah:0.02422940959101033 
307 emam emam:0.9672533727574839 shah:0.03274662724251607 
830 emam emam:0.8229927297937774 shah:0.1770072702062226 
2698 emam emam:0.9498898078658647 shah:0.050110192134135166 
117 shah shah:0.9956740506173103 emam:0.004325949382689812 
2396 emam emam:0.7753572608170293 shah:0.22464273918297079 
1189 emam emam:0.8117785298494291 shah:0.188221470150571 
179 shah emam:0.5630625883432921 shah:0.43693741165670785 
549 emam emam:0.7154910615592361 shah:0.2845089384407638 
2914 emam emam:0.904117186200541 shah:0.09588281379945884 
1657 emam emam:0.8008916168246899 shah:0.1991083831753101 
284 emam emam:0.8270964505340125 shah:0.17290354946598752 
534 shah emam:0.8993191172392903 shah:0.10068088276070966 
915 emam emam:0.9956792865706346 shah:0.004320713429365342 
439 shah emam:0.790464675820391 shah:0.2095353241796089 
673 emam emam:0.8323965908197137 shah:0.16760340918028627 
2684 emam emam:0.8229927297937774 shah:0.1770072702062226 
2124 emam emam:0.9999985607777694 shah:1.4392222305938138E-6 
393 emam emam:0.8218625848269828 shah:0.17813741517301723 
596 shah shah:0.883764766322819 emam:0.11623523367718103 
1140 emam emam:0.9675374109941797 shah:0.03246258900582019 
979 emam emam:0.9981327730508203 shah:0.0018672269491796954 
351 emam emam:0.9899168285818504 shah:0.010083171418149723 
1344 emam emam:0.8553102335524813 shah:0.14468976644751866 
2486 emam emam:0.9963787735417904 shah:0.003621226458209635 
1861 emam emam:0.9815820673309549 shah:0.01841793266904509 
2361 emam emam:0.9966217541113069 shah:0.003378245888693169 
2512 emam emam:0.8874976113482757 shah:0.1125023886517242 
543 shah emam:0.6143332007185234 shah:0.3856667992814767 
402 shah emam:0.5693773341216684 shah:0.4306226658783317 
1107 emam emam:0.7653148401696406 shah:0.2346851598303595 
741 emam emam:0.9972766112075186 shah:0.0027233887924814413 
2455 emam emam:0.8876202503947184 shah:0.11237974960528156 
1342 emam emam:0.9517699294668488 shah:0.048230070533151134 
730 shah shah:0.9998274878371697 emam:1.7251216283035805E-4 
870 emam emam:0.9313879891984029 shah:0.06861201080159716 
2109 emam emam:0.9712380012482568 shah:0.028761998751743213 
1375 emam emam:0.998920040650273 shah:0.0010799593497271436 
1041 emam emam:0.9888841772654191 shah:0.011115822734580935 
1397 emam emam:0.6454885059832186 shah:0.35451149401678134 
913 emam shah:0.7194744707012444 emam:0.28052552929875557 
49 shah shah:0.6987904719324783 emam:0.30120952806752166 
941 emam emam:0.9981181992045507 shah:0.0018818007954492174 
1814 emam emam:0.5564903204733126 shah:0.44350967952668746 
600 shah shah:0.8530547663195474 emam:0.14694523368045279 
64 shah emam:0.8334765847337694 shah:0.16652341526623063 
1744 emam emam:0.9939870837243401 shah:0.006012916275659844 
904 emam emam:0.9905758365804563 shah:0.009424163419543654 
1027 emam emam:0.8002345718416835 shah:0.19976542815831647 
566 shah shah:0.9987984458026061 emam:0.0012015541973939999 
236 emam emam:0.9972990633065332 shah:0.0027009366934667035 
2682 emam emam:0.9784165938907556 shah:0.021583406109244314 
2334 emam emam:0.6665494503579084 shah:0.33345054964209164 
413 emam emam:0.9743186656306881 shah:0.02568133436931183 
729 emam emam:0.9994244823707203 shah:5.755176292795815E-4 
3009 emam emam:0.8366041506050359 shah:0.1633958493949641 
2645 emam emam:0.9994182859218698 shah:5.817140781302052E-4 
811 shah shah:0.9999804202410056 emam:1.9579758994280762E-5 
2620 emam emam:0.8606564040186983 shah:0.13934359598130186 
3023 emam emam:0.9427653337758837 shah:0.05723466622411639 
1950 emam emam:0.9553797963822727 shah:0.04462020361772742 
836 emam emam:0.7352607575794177 shah:0.2647392424205824 
2595 emam emam:0.9995621269356098 shah:4.3787306439013144E-4 
416 shah emam:0.9326164923725675 shah:0.0673835076274324 
2841 emam emam:0.9867700899644108 shah:0.013229910035589284 
192 emam emam:0.9721977160409765 shah:0.027802283959023434 
81 emam emam:0.9137314571215979 shah:0.08626854287840212 
2380 emam emam:0.9996342715706725 shah:3.6572842932740306E-4 
1257 emam emam:0.6436082835377217 shah:0.3563917164622782 
1718 emam emam:0.9701898385002996 shah:0.029810161499700356 
2762 emam emam:0.9727519061294907 shah:0.027248093870509322 
196 emam emam:0.8723043516260724 shah:0.12769564837392755 
2704 emam emam:0.970233871134347 shah:0.029766128865653114 
2943 emam emam:0.971511321519857 shah:0.028488678480143033 
2489 emam emam:0.8494908270639371 shah:0.15050917293606292 
1671 emam emam:0.9293390107962458 shah:0.07066098920375422 
331 shah emam:0.5308187564997413 shah:0.4691812435002588 
256 shah shah:0.9605243016988402 emam:0.03947569830115978 
961 emam emam:0.9851059186517169 shah:0.014894081348283116 
669 emam emam:0.9615651860073335 shah:0.03843481399266657 
54 shah emam:0.8787917181619569 shah:0.12120828183804305 
371 shah emam:0.5078594246170203 shah:0.49214057538297973 
2628 emam emam:0.9160531969147514 shah:0.08394680308524861 
1813 emam emam:0.9476320966942553 shah:0.05236790330574483 
1853 emam emam:0.97080966007549 shah:0.029190339924510093 
358 emam emam:0.7850695176407645 shah:0.21493048235923554 
2830 emam emam:0.9859157997165992 shah:0.014084200283400874 
744 shah emam:0.815095372661378 shah:0.184904627338622 
2685 emam emam:0.5840693382177715 shah:0.4159306617822285 
621 emam emam:0.9915689444958562 shah:0.00843105550414367 
622 emam emam:0.9940318357983606 shah:0.005968164201639337 
2627 emam emam:0.8495886237359423 shah:0.1504113762640576 
72 shah emam:0.830899096304942 shah:0.16910090369505804 
2219 emam emam:0.9982661761484773 shah:0.001733823851522681 
692 shah shah:0.5425366726750339 emam:0.45746332732496603 
2240 emam emam:0.9973583344229583 shah:0.0026416655770417183 
